vocab,count
maju,10
alam,10
huhu,10
digituin,10
sang,10
perjalanan,10
sempurna,10
have,10
lahir,10
wkwkw,10
ttg,10
egois,10
he,10
stay,10
pinter,10
dibuat,10
tim,10
met,10
jawaban,10
bangga,10
pks,10
orang-orang,10
tiga,10
adanya,10
km,10
jatengsaruratkorupsi,10
bela,10
teroris,10
dp,10
saudara,10
sms,10
miskin,10
grup,10
se,10
internasional,10
sby,10
yaitu,10
dn,10
kenyang,10
kesel,10
bet,10
masyumi,10
perut,10
12,10
dewasa,10
pejabat,10
macem,10
abang,10
sebelah,10
gojek,10
capai,10
pen,10
menggunakan,10
kelak,10
engga,10
dingin,10
luka,10
bertemu,10
engkau,10
maksud,10
maling,10
milih,10
sehingga,10
bola,10
memberi,10
balas,10
mari,10
ribut,10
tuk,10
tersebut,10
dekat,10
kelihatan,10
smp,10
dibawa,10
contoh,10
bawah,9
dana,9
ha,9
sejati,9
7,9
neng,9
abal,9
sebab,9
thread,9
komen,9
daerah,9
keindahan,9
god,9
disana,9
santai,9
bule,9
gampang,9
segini,9
nga,9
posisi,9
puas,9
biarkan,9
dateng,9
sekitar,9
da,9
benar-benar,9
ttp,9
bm,9
antara,9
sahur,9
mengatakan,9
bukber,9
sifat,9
cakep,9
halaman,9
kehilangan,9
hm,9
motor,9
hahah,9
polisi,9
toh,9
pasar,9
damai,9
belom,9
calon,9
aje,9
segalanya,9
fokus,9
surga,9
efek,9
enga,9
maap,9
yo,9
tahan,9
fisik,9
top,9
bekasi,9
rela,9
doain,9
siapapun,9
instagram,9
hingga,9
sulit,9
rejeki,9
miris,9
masak,9
al,9
awalnya,9
kalinya,9
sosial,9
cita,9
ngasih,9
seharusnya,9
ikhlas,9
ramai,9
untukmu,9
gendut,9
bantu,9
gitasav,9
sebel,9
lepas,9
membuatku,9
terkadang,9
well,9
kartu,9
berdoa,9
google,9
kesalahan,9
rmh,9
miss,9
nongkrong,9
we,9
artis,9
suruh,9
kelar,9
nyalahin,9
ikutan,9
hadir,9
hilang,9
mudik,9
musik,9
team,9
aq,9
jadwal,9
rusak,9
meminta,9
paham,9
iri,9
super,9
2017,9
lelaki,9
kah,9
tipe,8
bersih,8
are,8
block,8
ujian,8
seberapa,8
tunggu,8
but,8
dosa,8
tokoh,8
nikmat,8
sengaja,8
ditinggal,8
mendengar,8
medsos,8
sopan,8
pki,8
berhasil,8
nice,8
telat,8
diganti,8
matahari,8
resi,8
bnyk,8
terbuka,8
duka,8
bertanya,8
wkwkwkwk,8
pagi2,8
dokter,8
antri,8
aj,8
ngajak,8
inisahurtiketcomharike20,8
menuju,8
sendirian,8
perjuangan,8
dki,8
hujan,8
wajib,8
t,8
wahai,8
pelaku,8
tante,8
temen2,8
la,8
menjelang,8
lengkap,8
ataupun,8
detik,8
receh,8
seminggu,8
amanah,8
lainnya,8
pola,8
kebanyakan,8
belakang,8
ato,8
aib,8
buang,8
mengerti,8
tolol,8
dirumah,8
keterlaluan,8
pelukan,8
sebentar,8
sebut,8
cakap,8
pertanyaan,8
m,8
thank,8
media,8
nyanyi,8
dikira,8
ramah,8
perang,8
selain,8
bosen,8
bri,8
parkir,8
positif,8
e,8
sederhana,8
weh,8
mulia,8
sehari,8
mahal,8
nkri,8
anti,8
sial,8
bertahan,8
bkn,8
takkan,8
24,8
alias,8
aa,8
istirahat,8
jaringan,8
milik,8
gratis,8
padamu,8
h,8
suci,8
aing,8
diberikan,8
pantes,8
artinya,8
anak2,8
hatiku,8
ribet,8
hotel,8
serba,8
terjaga,8
bebas,8
dear,8
your,8
biarin,8
internet,8
meski,8
bisnis,8
bodo,8
berbuat,8
berjuang,8
kerasa,8
pegang,8
hasilnya,8
mikirin,8
bersamamu,8
terserah,8
ajak,8
tong,8
dengar,8
rencana,8
fans,8
modal,7
tangga,7
adik,7
final,7
cebong,7
berangkat,7
padanya,7
ditambah,7
yes,7
batu,7
see,7
berpikir,7
100,7
pilkada,7
tpi,7
sudahlah,7
layanan,7
persija,7
ap,7
membawa,7
pahit,7
byk,7
lampu,7
buset,7
wifi,7
ngantuk,7
era,7
disayang,7
album,7
martabak,7
diterima,7
ampun,7
halo,7
hitam,7
masi,7
that,7
putri,7
untungnya,7
tai,7
dikatain,7
download,7
kepercayaan,7
kpd,7
berikan,7
menjaga,7
pelit,7
always,7
pt,7
omongan,7
pernyataan,7
mengingatkan,7
kepo,7
mempercayakan,7
stres,7
agung,7
profesional,7
protes,7
bijak,7
us,7
radikal,7
putus,7
dibalik,7
tercapai,7
member,7
jadian,7
hihi,7
pendidikan,7
dilakukan,7
beruntung,7
karya,7
donk,7
bae,7
beres,7
pantas,7
disebut,7
story,7
mention,7
arti,7
obat,7
sayangnya,7
8,7
bom,7
konser,7
satunya,7
pengalaman,7
dipakai,7
ri,7
kiriman,7
aceh,7
pindah,7
berdua,7
thr,7
pelayanan,7
gambar,7
kaos,7
transaksi,7
dicintai,7
filmnya,7
jarang,7
hidupku,7
barusan,7
otaknya,7
masing-masing,7
smg,7
wajah,7
teman-teman,7
padaku,7
seketika,7
fix,7
taun,7
siap2,7
nambah,7
kagum,7
daddy,7
sat,7
seksual,7
lemah,7
morning,7
bego,7
liburan,7
bung,7
menghargai,7
tadu,7
skrng,7
ente,7
buta,7
gub,7
kemana,7
hamil,7
manja,7
petugas,7
kampus,7
pulsa,7
sesak,7
oo,7
ditanya,7
opini,7
nilai,7
gaada,7
tega,7
thn,7
selamanya,7
lawan,7
gaji,7
jan,7
bagaikan,7
diriku,7
aktif,7
netizen,7
malaikat,7
sementara,7
kepentingan,7
semacam,7
bos,7
hal-hal,7
kaget,7
ngomongin,7
baiknya,7
sama2,7
jijik,7
rambut,7
adek,7
listrik,7
guru,7
home,7
prof,7
kira,7
tersayang,7
pesan,7
apa2,7
menganggap,7
sistem,7
berita,7
meraih,7
mendapatkan,7
gapernah,7
rasakan,7
dibandingkan,7
isinya,7
cek,6
gelas,6
bahas,6
jdi,6
pastinya,6
nyampe,6
asing,6
wes,6
ja,6
fansite,6
layak,6
sosok,6
seram,6
rugi,6
nunjukin,6
kang,6
puncak,6
tulis,6
menatap,6
nge,6
ae,6
aplikasi,6
senantiasa,6
tumbuh,6
subuh,6
jomblo,6
viral,6
skripsi,6
post,6
keinginan,6
mengambil,6
ongkir,6
jkt,6
sarung,6
now,6
menyiksa,6
insya,6
baper,6
lemot,6
mo,6
save,6
benar2,6
bupati,6
netijen,6
bintang,6
alamat,6
sedangkan,6
soeharto,6
suasana,6
munafik,6
line,6
celana,6
demokrasi,6
20,6
dalem,6
good,6
hatimu,6
kelebihan,6
bukanya,6
krna,6
nolak,6
juli,6
nabi,6
meninggal,6
laper,6
kagak,6
real,6
khawatir,6
generasi,6
ahok,6
pertemuan,6
ikan,6
service,6
laki,6
kejadian,6
kenyataan,6
junior,6
dicari,6
menangis,6
bahaya,6
nol,6
otakny,6
diem2,6
janji,6
oknum,6
bsa,6
cerdas,6
v,6
proses,6
more,6
usia,6
ummat,6
puter,6
bocah,6
habisnya,6
nemu,6
penyanyi,6
ta,6
gigi,6
budi,6
fitnah,6
nungu,6
menutup,6
busuk,6
awas,6
pa,6
pilpres,6
cocok,6
sip,6
umum,6
kakek,6
ribuan,6
enaknya,6
sekaligus,6
ngucapin,6
bosan,6
kini,6
memalukan,6
berdiri,6
muslim,6
goblok,6
tt,6
korea,6
teriak,6
rs,6
walopun,6
gmna,6
nulis,6
separuh,6
lembut,6
imam,6
ahsan,6
cium,6
do,6
jerman,6
sepeda,6
ok,6
dukungan,6
ngumpul,6
mi,6
pria,6
membuka,6
aturan,6
tv,6
lokasi,6
ekonomi,6
nenek,6
sepertinya,6
gelap,6
stasiun,6
masalahnya,6
jodoh,6
drpd,6
toko,6
mandiri,6
dangdut,6
jelasin,6
negatif,6
setia,6
merubah,6
sebatas,6
canda,6
jari,6
pintu,6
dibikin,6
jalur,6
kesabaran,6
ujung2nya,6
alloh,6
^^,6
mencoba,6
curhat,6
org2,6
umat,6
mamah,6
lagu2nya,6
tweet,6
harrasment,6
lol,6
simic,6
katakan,6
kelakuan,6
travel,6
publik,6
apa-apa,6
terharu,6
bukannya,6
iye,6
wish,6
kucing,6
menginspirasi,6
menjauh,6
serasa,6
daniel,6
libur,6
life,6
seharian,6
others,6
bnr,6
kecuali,6
bahan,6
sodara,6
hayom,6
yu,6
admin,6
pakaian,6
nt,6
pendapat,6
goreng,6
bangkit,6
gegara,6
lemas,6
traktir,6
perubahan,6
numpang,6
menyayangi,5
belanja,5
hawa,5
terhormat,5
hahahahaha,5
menyalahkan,5
^fd,5
will,5
kado,5
jurusan,5
ce,5
gereja,5
sekian,5
em,5
bibi,5
vs,5
dilecehkan,5
sepakat,5
jengkel,5
coi,5
sisi,5
mukanya,5
moga,5
tertarik,5
partner,5
nyuruh,5
idol,5
purbalingga,5
sepatu,5
harganya,5
novel,5
bis,5
lapar,5
kewajiban,5
yaelah,5
lama2,5
kenyamanan,5
pingin,5
driver,5
gangguan,5
bacot,5
banjir,5
kpk,5
bangsat,5
bubarkan,5
lambat,5
gtu,5
blg,5
melanggar,5
respon,5
quran,5
ngeluh,5
smpe,5
kos,5
dibalas,5
30,5
9,5
pos,5
ngurusin,5
pacaran,5
dengki,5
avanya,5
bus,5
seakan,5
diatas,5
de,5
apaan,5
persib,5
hape,5
maksudnya,5
orgnya,5
kerjanya,5
semalam,5
fotonya,5
atm,5
sinyalnya,5
ditolak,5
bpk,5
liatnya,5
bibir,5
liga,5
im,5
okay,5
karakter,5
ngurus,5
medan,5
tiba-tiba,5
versi,5
cs,5
khilaf,5
warna,5
kurnia,5
mega,5
timnas,5
mapan,5
bb,5
mengapa,5
sejahtera,5
adil,5
congratulations,5
pesen,5
ustadz,5
new,5
menghapus,5
sobat,5
seandainya,5
bercanda,5
nak,5
nyala,5
tj,5
pasien,5
ac,5
smoga,5
heart,5
duda,5
ramadan,5
sukanya,5
koneksi,5
saatnya,5
live,5
menikah,5
right,5
tgb,5
huhuhu,5
jak,5
dsb,5
cuek,5
asyik,5
bismillah,5
ajar,5
hangat,5
piye,5
bakso,5
wow,5
ketiduran,5
menunaikan,5
her,5
lapor,5
galak,5
sarapan,5
smua,5
merupakan,5
campur,5
sayyidi,5
samping,5
rasullullah,5
tanggung,5
facebook,5
membantu,5
rumahnya,5
bogor,5
too,5
twit,5
maksimal,5
panggung,5
jaya,5
terpaksa,5
dilakuin,5
sesat,5
sila,5
stiap,5
menjagamu,5
yeh,5
ayam,5
barat,5
ratusan,5
ngomel,5
tawa,5
sngt,5
dompet,5
diisi,5
pemilik,5
dri,5
woy,5
balasan,5
ngajarin,5
ketua,5
info,5
memeluk,5
didepan,5
mampir,5
bandara,5
bumi,5
beras,5
nalar,5
plus,5
move,5
tingal,5
hny,5
diperlukan,5
nyatanya,5
selanjutnya,5
hadiah,5
kawan,5
tubuh,5
niatnya,5
nobar,5
kondisi,5
tamu,5
idola,5
bermasalah,5
soekarno,5
q,5
mini,5
ribu,5
berteman,5
ish,5
tunda,5
laporan,5
insan,5
ciye,5
aman,5
maklum,5
kamuu,5
akuu,5
pelajaran,5
bangeet,5
izin,5
hakim,5
matanya,5
boneka,5
baik2,5
pengertian,5
nyakitin,5
kekurangan,5
disakitin,5
berantakan,5
saran,5
ad,5
impian,5
puisi,5
pisan,5
khan,5
say,5
yesus,5
kering,5
normal,5
mksh,5
tiba2,5
gaes,5
ayu,5
konten,5
menanti,5
jugaa,5
laku,5
berlebihan,5
jadilah,5
yaampun,5
bawa2,5
how,5
komentar,5
ogah,5
army,5
membaca,5
mw,5
lantai,5
aktivis,5
kebiasaan,5
menahan,5
kekuatan,5
malang,5
omongin,5
kelapa,5
care,5
what,5
fast,5
energi,5
matamu,5
rilis,5
kelompok,5
untukku,5
duitnya,5
seringkali,5
sidang,5
ajah,5
ngak,5
sudut,5
song,5
api,5
politisi,5
bertengkar,5
saking,5
isa,5
pandang,5
nungguin,5
gituin,5
kepikiran,5
nyinyirin,5
spy,5
everything,5
ngawur,5
akrab,5
hey,5
bucin,5
kekasihnya,5
sblm,5
fandom,5
shalat,5
kreatif,5
rp,5
dokumen,5
istrinya,5
sabun,5
nu,5
melupakan,5
meninggalkan,5
terkenal,5
dewan,5
uangnya,5
ahh,5
berkat,5
event,5
telkom,5
salut,5
semarang,5
ngetweet,5
kimia,5
hepi,5
dilecehin,5
bener-bener,5
menyakiti,5
lebar,5
kesepian,5
nyawa,5
bermanfaat,5
ngeselin,5
sembarangan,5
berhenti,5
sebagian,4
ngajakin,4
liar,4
klw,4
keadaan,4
gara-gara,4
maf,4
semester,4
xx,4
ibadahnya,4
dibawah,4
nursehah,4
seronok,4
ntr,4
nasabah,4
jasa,4
informasi,4
ninggalin,4
feed,4
rasulullah,4
terdengar,4
jokowisekalilagi,4
ajaa,4
membuatmu,4
bisanya,4
support,4
pembayaran,4
keliling,4
mei,4
neraka,4
lega,4
lupain,4
mantep,4
sepanjang,4
marah2,4
nyokap,4
metal,4
ani,4
wae,4
pahlawan,4
bantuin,4
posisinya,4
terlebih,4
disalahkan,4
ktp,4
bioskop,4
prestasi,4
sapi,4
tampan,4
disalahin,4
furious,4
ngirim,4
kisah,4
15,4
karir,4
temenku,4
batik,4
cowoknya,4
blusukan,4
spesial,4
palestina,4
purnama,4
luh,4
saw,4
folback,4
dungu,4
muak,4
orde,4
hutan,4
sepupu,4
dipake,4
nabung,4
atlit,4
akunya,4
mince,4
gabung,4
gbu,4
khalayak,4
susahnya,4
dtng,4
lingkungan,4
kebutuhan,4
rezim,4
ngeliatnya,4
mommy,4
wagub,4
tl,4
wisuda,4
fake,4
berisi,4
ina,4
kya,4
bawain,4
xd,4
aisyah,4
jemput,4
keknya,4
teman2,4
mang,4
pedas,4
menteri,4
kosan,4
tambahan,4
late,4
ucapnya,4
tlp,4
kenalan,4
tut,4
pengetahuan,4
kata-kata,4
telepon,4
tarawih,4
panen,4
selera,4
pondok,4
mayoritas,4
bencong,4
penjara,4
bts,4
disitu,4
haji,4
pny,4
bully,4
mantab,4
terindah,4
sapa,4
membahagiakan,4
pencipta,4
kontra,4
sembuh,4
mengerjakan,4
problem,4
kirain,4
ruangan,4
ngerjain,4
pelajari,4
atuh,4
nempel,4
pekerjaan,4
palsu,4
pop,4
sepele,4
juara,4
negri,4
rasain,4
misal,4
nafas,4
bacaan,4
hero,4
nyapa,4
one,4
hti,4
proyek,4
emak,4
cucu,4
bimbingan,4
hijrah,4
membutuhkan,4
keluarganya,4
sj,4
rahmat,4
rapi,4
utuh,4
utama,4
cita2,4
mendadak,4
persepsi,4
telp,4
keuangan,4
surabaya,4
8rianna,4
juni,4
umatnya,4
feel,4
beliin,4
cmn,4
hallo,4
get,4
dibuka,4
muter,4
again,4
picik,4
money,4
sinis,4
when,4
co,4
terbahak-bahak,4
tunjangan,4
pkn,4
berguna,4
thinking,4
sebanyak,4
kekasih,4
huh,4
sekalipun,4
luas,4
inginkan,4
feeling,4
kfc,4
wtp,4
persen,4
langkah,4
et,4
jorok,4
bhs,4
shift,4
artidjo,4
bagiku,4
kelemahan,4
memikirkan,4
tindakan,4
sob,4
php,4
mewek,4
kurus,4
minder,4
seenak,4
ide,4
kenangan,4
arab,4
gajelas,4
uas,4
naek,4
full,4
tiang,4
ngelakuin,4
petani,4
heheh,4
nasional,4
judulnya,4
anggap,4
malem2,4
bln,4
belah,4
pasrah,4
socmed,4
sempat,4
mantannya,4
bbm,4
fakta,4
merindukan,4
seribu,4
tuntas,4
kata2,4
transfer,4
mood,4
park,4
turut,4
harto,4
masing2,4
xl,4
muhammad,4
blom,4
belagu,4
parkiran,4
permasalahan,4
silahkan,4
lurus,4
bonek,4
menimpa,4
telpon,4
yuta,4
berakhir,4
curiga,4
fakultas,4
liburnya,4
buah,4
klien,4
darah,4
perusahaan,4
masalalu,4
center,4
walikota,4
lamban,4
hadapi,4
mendengarkan,4
nusantara,4
gausa,4
ketiga,4
norak,4
woles,4
terminal,4
kalem,4
tsygmc,4
mundur,4
hanyalah,4
agus,4
jalanan,4
jk,4
girl,4
ngeri,4
pgn,4
ketimbang,4
movie,4
hei,4
akibat,4
andalan,4
tetangga,4
cintamu,4
olahraga,4
tulang,4
sekelas,4
imut,4
kelakuannya,4
warung,4
nye,4
nahan,4
superman,4
kdg,4
think,4
someone,4
cuci,4
gunakan,4
gara,4
juta,4
keluhan,4
bangtan,4
tata,4
bukalapak,4
congrats,4
pke,4
ade,4
terbang,4
adem,4
nanyain,4
penasaran,4
bahagiain,4
parklife,4
bunga,4
gakan,4
kuasa,4
bulu,4
menolak,4
selingkuh,4
mengganggu,4
telinga,4
ketinggalan,4
pandangan,4
menyesal,4
capres,4
abadi,4
titik,4
minyak,4
tentunya,4
inilah,4
signal,4
mv,4
kejauhan,4
konsep,4
